sphere_id,x,y,z,r,object_type,object_id,branch_id,parent_sphere_id
431,30.0037,20.2087,26.5221,0.960949,0,29,0,364
432,34.8924,20.0478,26.5068,0.922151,0,30,0,365
433,39.6269,19.9667,26.4445,0.971273,0,31,0,366
434,4.94037,45.386,26.4732,1.07645,0,64,0,367
435,9.78987,45.1128,26.5576,1.07961,0,65,0,368
436,14.9731,45.1347,26.528,0.947713,0,66,0,369
437,4.90307,24.8983,26.5269,0.949234,0,32,0,370
438,10.0834,24.9561,26.5061,0.973924,0,33,0,371
439,14.8429,24.9609,26.5647,1.05925,0,34,0,372
440,20.0305,25.1082,26.5186,1.02788,0,35,0,373
441,25.101,24.7996,26.4535,0.943406,0,36,0,374
442,30.2598,25.0401,26.467,1.03417,0,37,0,375
443,34.7991,24.7418,26.4787,0.998093,0,38,0,376
444,40.0621,25.0984,26.461,0.977067,0,39,0,377
445,5.17169,29.8158,26.485,1.01441,0,40,0,378
446,9.92713,29.8861,26.535,0.993941,0,41,0,379
447,15.1635,29.7204,26.4744,0.901126,0,42,0,380
448,19.8583,29.9606,26.5956,0.931871,0,43,0,381
449,24.7928,30.0814,26.5099,1.0122,0,44,0,382
450,29.8624,29.9305,26.468,1.03568,0,45,0,383
451,34.9361,30.191,26.5073,0.953676,0,46,0,384
452,39.9336,30.1872,26.5301,0.935637,0,47,0,385
453,4.85806,34.7176,26.4877,1.01639,0,48,0,386
454,9.77638,34.8502,26.4568,0.989427,0,49,0,387
455,14.9242,35.0625,26.5274,1.03932,0,50,0,388
456,19.733,35.242,26.4532,0.96771,0,51,0,389
457,25.1582,35.1929,26.4844,0.965687,0,52,0,390
458,29.8054,35.1516,26.4778,0.982813,0,53,0,391
459,34.8019,34.9575,26.5094,1.0106,0,54,0,392
460,40.0716,34.8109,26.5207,0.963923,0,55,0,393
461,5.14102,39.8964,26.5034,0.905045,0,56,0,394
462,9.94196,39.9644,26.5533,0.945904,0,57,0,395
463,14.894,40.1427,26.5694,0.913142,0,58,0,396
464,20.2244,39.8615,26.4942,1.07062,0,59,0,397
465,24.876,39.8856,26.4994,1.0581,0,60,0,398
466,29.7752,39.8956,26.5365,1.06066,0,61,0,399
467,34.9799,39.7781,26.4965,1.10882,0,62,0,400
468,39.6955,40.1571,26.5083,0.995981,0,63,0,401
469,4.86152,5.0202,26.8368,0.939387,0,0,0,402
470,10.0382,4.91348,26.6985,1.09339,0,1,0,403
471,15.0458,5.09491,26.7829,0.980994,0,2,0,404
472,20.0419,5.27059,26.7306,0.927693,0,3,0,405
473,24.9827,5.43924,26.7837,0.971042,0,4,0,406
474,29.7734,5.10698,26.7703,1.05931,0,5,0,407
475,35.0329,5.04286,26.7404,0.981391,0,6,0,408
476,40.1012,4.7391,26.7086,0.978913,0,7,0,409
477,4.6364,10.1302,26.7228,0.93566,0,8,0,410
478,9.9671,10.011,26.8137,1.02907,0,9,0,411
479,15.1982,9.83595,26.7689,1.01079,0,10,0,412
480,20.0804,9.81673,26.7648,0.878893,0,11,0,413
481,24.8838,10.1473,26.8165,0.981849,0,12,0,414
482,30.0418,9.70969,26.7407,1.01613,0,13,0,415
483,35.104,10.0254,26.7554,0.966938,0,14,0,416
